No,Literature Paper,Citation,Location,Classification,Dril No.,Depth (m),Input Parameters,,,,,,,,,,,Basic RMR Value,,,F1,F2,F3,F4,SMR Value,Stable / Unstable
,,,,,,,Strength of Intact Rock material (UCS)/ (Mpa),,,,RQD (%),,Spacing of Discontinuities / (m),,,Condition of Discontinuities,Ground Water Condition,,,,,,,,,
,,,,,,,,,,Min,,Max,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Some rock mass, chemical, physical, thermal, and mechanical properties of Mardin limestone, Turkey","Agan, C. and Cicek, F. (2020) ‘Some rock mass, chemical, physical, thermal, and mechanical properties of Mardin Limestone, Turkey’, Arabian Journal of Geosciences, 13(4). doi:10.1007/s12517-020-5146-x. ", City of Mardin of Turkey,Massive,,,20.5,22.7 (2),24.7,85,90 (20),98,0.1,0.13 (8),0.15,Very Rough (30),Dry (15),76,75,86,,,,,,
,,,,Thickly Bedded,,,20.3,22.1 (2),24.5,70,75 (17),88,0.07,0.08 (8),0.1,Rough Walls (29),Dry (15),66,71,78,,,,,,
,,,,Thinly Bedded,,,20.1,21.2 (2),23.7,40,50 (13),70,0.02,0.06 (8),0.08,Rough Walls (26),Dry (15),58,64,71,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A new general empirical approach for the prediction of rock mass strengths of soft to hard rock masses,"Dinc, O.S. et al. (2011) ‘A new general empirical approach for the prediction of rock mass strengths of soft to hard rock masses’, International Journal of Rock Mechanics and Mining Sciences, 48(4), pp. 650–665. doi:10.1016/j.ijrmms.2011.03.001. ",North-eastern Turkey,Baskoyak  barite pit,,,,5.2 (2),,,75 (17),,,0.04 (5),,"Smooth to slickensided surfaces (0-1), Highly weathred (1), Soft Coating < 5 mm (2)  - (3.5)  ",Dry (15),,,,,,,,,
,,,,Goynuk lignite open pit,,,,4.8 (1),,,71.11 (13),,0.37,0.377 (10),0.65,"Slickensided surfaces (0), Moderately weathred (3), Soft Coating < 5 mm (2) - (5)  ",Dry (15),,,,,,,,,
,,,,Kisrakdere lignite open pit,,,,40 (40,,,73.75 (13),,0.13,0.5875 (10),1.07,"Smooth surfaces (1), Slightly weathred (5), Soft Coating < 5 mm (2)   - (8)",Dry (15),,,,,,,,,
,,,,spoil pile instability at Eskihisar open pit,,,,4.15 (1),,,98.6 (20),,0.71,0.083 (8),1.26,"Smooth surfaces (1), Slightly weathred (5), Soft Coating < 5 mm (2)   ",Dry (15),,,,,,,,,
,,,,Cayeli- Kaptanpasa barrow pit,,,,90.8 (20),,,86.62 (17),,,0.35 (10),,"Slightly rough surfaces (3), Slightly ro moderately weathred (4), Soft Coating < 5 mm (2)   - (9)",Dry (15),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The Use of Rock Mass Classification Systems to Estimate the Modulus and Strength of Jointed Rock,"Justo, J.L. et al. (2009) ‘The use of rock mass classification systems to estimate the modulus and strength of jointed rock’, Rock Mechanics and Rock Engineering, 43(3), pp. 287–304. doi:10.1007/s00603-009-0040-6. ","Tenerife island, Spain",Upper Basalt,,,,83 (7),,,63.4(13),,,0.3 (10),,"Slightly rough, Slightly weathered, Soft coating<1 mm - (25)",Wet (7),,62,,,,,,,
,,,,d1,,,,69(7),,,77(17),,,0.5 (10),,"Slightly rough, Slightly weathered, Soft coating<1 mm - (25)",Wet (7),,66,,,,,,,
,,,,d2,,,,24(2),,,42.5(8),,,0.125(8),,"Slightly rough, Highly weathered, Soft coating<1 mm - (20)",Wet (7),,45,,,,,,,
,,,,d3,,,,13(2),,,0(3),,,0.05(3),,"Slightly rough, Highly weathered, Soft coating<1 mm - (15)",Wet (7),,30,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"An assessment of total RMR classification system using unified
simulation model based on artificial neural networks","Mert, E., Yilmaz, S. and İnal, M. (2011) ‘An assessment of total RMR classification system using unified simulation model based on Artificial Neural Networks’, Neural Computing and Applications, 20(4), pp. 603–610. doi:10.1007/s00521-011-0578-6. ",Turkey,Tunnel 1,,,,150 (12.3),,,85 (17),,,0.285 (8.7),,"Very rough surface, Seperation < 1mm (30)",Damp(10),,78,,,,,,,
,,,,Tunnel 2,,,,125 (11.2),,,85 (17),,,0.19 (7.7),,"Slightly rough surface, Seperation < 1mm, Slightly weathred walls (25)",Damp(10),,70.9,,,,,,,
,,,,Tunnel 3,,,,245 (14.9),,,92 (18.1),,,1.8 (19),,"Very rough surface, Seperation < 1mm (25)",Dry (15),,92,,,,,,,
,,,,Tunnel 4,,,,95 (9),,,73 (14.2),,,0.155 (7.5),,"Very rough surface, Seperation < 1mm (13)",Damp (15),,58.7,,,,,,,
